"question","answer","status","citations"
"incident response plan","The incident response plan consists of 6 phases: Preparation, Identification, Containment, Eradication, Recovery, and Lessons Learned. These phases outline the steps to be taken in the event of a security incident, from initial preparation and identification to containment, eradication, recovery, and post-incident review.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"for notifying relevant internal departments","The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.","approved","Incident_Response_Plan.md: ""## 3. Notification and Communication
* **Internal:** The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.
* **External/Customers:"" | 05_HR_Security_Policy.pdf (p.3): ""For internal role changes, a formal access review is triggered by the HRIS (Workday) and completed within
5 business days. The principle of least privilege is reapplied: previous role access is remove"""
"critical relationships (such as supply-chain) that may be impacted.","NimbusGuard has implemented various measures to secure its software supply chain, including generating a Software Bill of Materials (SBOM) for every release, scanning third-party dependencies for known vulnerabilities, and enforcing open source license compliance. The company also has a Vendor and Supply Chain Management Policy in place, which includes third-party risk assessment, monitoring, and sub-processor controls.","approved","08_Vendor_Supply_Chain_Management.pdf (p.3): ""Conduct; and subcontractor approval requirements.
5. Software Supply Chain Security
NimbusGuard secures its software supply chain through:
• Software Bill of Materials (SBOM) generated for every relea"" | Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"SEF-04.1","The provided context does not contain enough information to answer the question SEF-04.1. The context appears to be related to the company's security policies and incident response plan, but it does not provide specific details about SEF-04.1.","approved","01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 09_Company_Overview_Security_Factsheet.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Company Overview and Security Fact Sheet
Quick Reference for Security Assessments and RFP Responses
Document ID: NG-OVR-009 Version: 2.0
Effective Date: February 20, 202"" | 04_Incident_Response_Plan.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Security Incident Response Plan
Detection, Triage, Containment, Recovery & Lessons Learned
Document ID: NG-IRP-004 Version: 5.0
Effective Date: January 25, 2026 Owner: V"""
"intervals or upon significant changes.","Backups are taken at specific intervals: full database backups are taken daily and incremental backups are taken hourly. Additionally, the system has a Change Advisory Board that meets weekly to review high-risk changes, and access reviews are performed at various intervals, including quarterly, monthly, and semi-annually.","approved","06_Infrastructure_Operations_Security.pdf (p.2): ""Changes are deployed to
staging first, soaked for 24 hours, then promoted to production.• Change Advisory Board: High-risk changes (database schema, auth system, encryption) require
CAB approval.CAB m"" | 07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"""
"SEF-07.1","The information provided does not contain a specific question labeled as SEF-07.1, but based on the context, it seems like the question might be related to the company's security policies, incident response plan, or security measures. However, without the actual question, it's challenging to provide a precise answer.","approved","01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"" | 09_Company_Overview_Security_Factsheet.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Company Overview and Security Fact Sheet
Quick Reference for Security Assessments and RFP Responses
Document ID: NG-OVR-009 Version: 2.0
Effective Date: February 20, 202"""
"timely and effective response to security incidents in accordance with incident categories and severity levels?","The organization has a comprehensive incident response plan in place, which includes incident classification, incident response team, detection and monitoring, and response phases. The plan ensures timely and effective response to security incidents in accordance with incident categories and severity levels. For example, SEV-1 incidents have a 15-minute response time, while SEV-4 incidents have a 24-hour response time. The plan also includes a post-mortem review within 14 days of incident closure to improve future response.","approved","04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
"effective response to security incidents in accordance with incident categories and severity","The organization has a structured incident response plan that categorizes incidents into four severity levels (SEV-1 to SEV-4) based on their impact. The plan ensures a timely and effective response to security incidents, with clearly defined roles and responsibilities within the Computer Security Incident Response Team (CSIRT). The response phases include identification, containment, eradication, recovery, and lessons learned, which are designed to mitigate the effects of security incidents and prevent future occurrences. The organization also operates a 24/7 Security Operations Center (SOC) with advanced detection capabilities, including SIEM, EDR, CNAPP, NDR, WAF, and DLP, to quickly identify and respond to security incidents.","approved","04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
"levels. Review","There are multiple levels of review mentioned in the context, including code review, access reviews, and post-incident reviews. Code review is performed by at least one other engineer before code changes are merged into the main branch. Access reviews include user access certification, privileged access review, service account review, third-party access review, and orphaned account scan, each with different frequencies and owners. Post-incident reviews are held within 5 business days of an incident.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | 07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Application_Security_and_Vulnerability_Management.md: ""## 1. Secure Software Development Life Cycle (SDLC)
* **Code Review:** All code changes must undergo a peer review by at least one other engineer before being merged into the main branch.
* **Testing:"""
"SEF-07.2","The provided context does not contain information related to SEF-07.2. The context includes information about the company's information security policy, company overview, and security fact sheet, as well as an incident response plan. However, it does not mention SEF-07.2 specifically.","approved","01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 09_Company_Overview_Security_Factsheet.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Company Overview and Security Fact Sheet
Quick Reference for Security Assessments and RFP Responses
Document ID: NG-OVR-009 Version: 2.0
Effective Date: February 20, 202"" | 04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"""
"SEF-08.1","The provided context does not contain enough information to answer the question SEF-08.1. The context appears to be related to information security policies, company overviews, and vendor supply chain management, but it does not provide specific details about SEF-08.1.","approved","01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 09_Company_Overview_Security_Factsheet.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Company Overview and Security Fact Sheet
Quick Reference for Security Assessments and RFP Responses
Document ID: NG-OVR-009 Version: 2.0
Effective Date: February 20, 202"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"defined and implemented?","A Secure Software Development Life Cycle (SDLC) is defined and implemented, which includes code review, automated testing, and environment separation. However, the context does not provide information on the implementation details of the security baseline for information systems, data, and personnel as outlined in the Information Security Policy.","approved","Application_Security_and_Vulnerability_Management.md: ""## 1. Secure Software Development Life Cycle (SDLC)
* **Code Review:** All code changes must undergo a peer review by at least one other engineer before being merged into the main branch.
* **Testing:"" | Information_Security_Policy.md: ""## 1. Purpose
This policy outlines the security baseline for all ApexCloud Solutions information systems, data, and personnel to ensure the confidentiality, integrity, and availability of customer dat"""
"notifications. Report material security breaches including any relevant supply chain","In the event of a confirmed data breach involving customer or personal data, notifications will be made as follows: to the relevant supervisory authority within 72 hours; to affected data subjects without undue delay if the breach is likely to result in high risk to their rights and freedoms; to affected customers within 48 hours via the designated security contact; and to the Computer Security Incident Response Team (CSIRT) immediately upon confirmation of a high-severity incident. Additionally, reports will be filed with relevant US state attorneys general as required by applicable breach notification laws.","approved","Incident_Response_Plan.md: ""## 3. Notification and Communication
* **Internal:** The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.
* **External/Customers:"" | 04_Incident_Response_Plan.pdf (p.3): ""In the event of a confirmed data breach involving personal data, NimbusGuard will: notify the relevant
supervisory authority within 72 hours of becoming aware of the breach (per GDPR Article 33); noti"""
"breaches","In the event of a confirmed data breach involving personal data, NimbusGuard will notify the relevant supervisory authority within 72 hours of becoming aware of the breach, notify affected data subjects without undue delay where the breach is likely to result in high risk to their rights and freedoms, notify affected customers contractually within 48 hours via the designated security contact, and file reports with relevant US state attorneys general as required by applicable breach notification laws.","approved","04_Incident_Response_Plan.pdf (p.3): ""In the event of a confirmed data breach involving personal data, NimbusGuard will: notify the relevant
supervisory authority within 72 hours of becoming aware of the breach (per GDPR Article 33); noti"" | Incident_Response_Plan.md: ""## 3. Notification and Communication
* **Internal:** The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.
* **External/Customers:"""
"SEF-08.2","The provided context does not contain enough information to answer the question SEF-08.2. The context appears to be related to information security policies and company overviews, but it does not provide specific details about SEF-08.2.","approved","01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"" | 09_Company_Overview_Security_Factsheet.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Company Overview and Security Fact Sheet
Quick Reference for Security Assessments and RFP Responses
Document ID: NG-OVR-009 Version: 2.0
Effective Date: February 20, 202"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"as per applicable SLAs","The applicable SLAs for remediation are: Critical (24 hours), High (7 days), Medium (30 days), and Low (evaluated and scheduled for upcoming sprint).","approved","06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"" | 08_Vendor_Supply_Chain_Management.pdf (p.2): ""1. Third-Party Risk Assessment
All vendors and service providers that access, process, store, or transmit NimbusGuard data or connect to
NimbusGuard systems must undergo a security risk assessment pri"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"STA-01.1","The provided context does not contain enough information to answer the question STA-01.1. The context appears to be related to information security policies, but it does not provide any specific details about the question.","approved","information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"" | 01_Information_Security_Policy.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Information Security Policy
Enterprise Governance, Risk & Compliance Framework
Document ID: NG-ISP-001 Version: 4.2
Effective Date: January 15, 2026 Owner: CISO – Dr. El"""
"communicated","In the event of a confirmed data breach involving customer data, ApexCloud will notify affected customers within 48 hours of verification without undue delay. Additionally, the Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.","approved","Incident_Response_Plan.md: ""## 3. Notification and Communication
* **Internal:** The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.
* **External/Customers:"" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"policies and procedures for supply chain risk management. Review and update the policies","NIMBUSGUARD TECHNOLOGIES, INC. has a Vendor and Supply Chain Management Policy (Document ID: NG-VSM-008) that outlines Third-Party Risk Assessment, Monitoring & Sub-Processor Controls. The policy is owned by the General Counsel – Rachel Torres and is classified as Internal – Confidential. The policy is subject to review and updates, with the current version being 2.3, effective as of February 15, 2026. Additionally, the company has a change management process in place that requires documentation, approval by the Change Advisory Board (CAB) for high-risk changes, and a documented rollback plan for changes to production infrastructure.","approved","08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February "" | Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"and procedures at least annually","A certified third-party security firm conducts an independent penetration test at least annually.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | 05_HR_Security_Policy.pdf (p.3): ""For internal role changes, a formal access review is triggered by the HRIS (Workday) and completed within
5 business days. The principle of least privilege is reapplied: previous role access is remove"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"STA-01.2","The provided context does not contain enough information to answer the question STA-01.2.","approved","information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"" | data_management_policy.md: ""# StrataFlow Enterprise: Data Management and Encryption Policy
**Effective Date:** November 10, 2025
**Version:** 4.0"""
"at least annually","Security awareness training is required for all personnel upon hire and annually thereafter.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"STA-03.1","The context does not contain enough information to answer the question STA-03.1. The provided chunks are related to vendor and supply chain management policy and information security policy, but they do not provide any specific details about STA-03.1.","approved","08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February "" | information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"""
"chain?","The context provided does not contain enough information to answer the question about a 'chain'. The context primarily discusses change management, vulnerability management, and the Change Advisory Board (CAB) process, without mentioning anything related to a 'chain'.","approved","06_Infrastructure_Operations_Security.pdf (p.2): ""Changes are deployed to
staging first, soaked for 24 hours, then promoted to production.• Change Advisory Board: High-risk changes (database schema, auth system, encryption) require
CAB approval.CAB m"" | Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"STA-05.1","The provided context does not contain enough information to answer the question STA-05.1. The context appears to be related to vendor supply chain management and application security policies, but it does not provide any specific details about STA-05.1.","approved","08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February "" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"according to the SSRM?","There is no information provided about SSRM in the given context chunks.","approved","04_Incident_Response_Plan.pdf (p.2): ""1.Incident Classification
Severity Definition Response Time Notification
SEV-1 (Critical) Active data breach, complete service outage, ransomware, or compromise of authentication system	15 minutes CIS"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"STA-08.1","The provided context does not contain enough information to answer the question STA-08.1. The context appears to be related to vendor and supply chain management policy and information security policy, but it does not provide any specific details about STA-08.1.","approved","08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February "" | information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"""
"TVM-02.1","The provided context does not contain enough information to answer the question TVM-02.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"established","The context does not provide enough information about what is being asked as 'established'. It seems to be related to the incident response plan and information security policy, but without more specific details, it's hard to give a precise answer.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"""
"protect against malware and malicious instructions. Review and update the policies and procedures","The provided context does not contain specific information on protecting against malware and malicious instructions. However, it mentions the existence of an Infrastructure and Operations Security Policy (Document ID: NG-INF-006) and a Security Incident Response Plan (Document ID: NG-IRP-004), which may include policies and procedures for protecting against malware and malicious instructions. Review and update of these policies and procedures would be necessary to ensure they are effective and up-to-date.","approved","04_Incident_Response_Plan.pdf (p.2): ""4.4 Recovery – Restore services from verified backups, validate system integrity, gradually re-enable
access with enhanced monitoring.4.5 Lessons Learned – Post-incident review (PIR) held within 5 bus"" | 06_Infrastructure_Operations_Security.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Infrastructure and Operations Security Policy
Cloud Architecture, Network Security, Change Management & Monitoring
Document ID: NG-INF-006 Version: 4.0
Effective Date: J"""
"at least annually","Security awareness training is required for all personnel upon hire and annually thereafter.","approved","07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"TVM-02.2","The provided context does not contain enough information to answer question TVM-02.2.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"and updated at least annually","Penetration Testing is conducted at least annually by a certified third-party security firm.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | 07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"""
"TVM-03.1","The provided context does not contain enough information to answer the question TVM-03.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"vulnerability detection on organizationally managed assets at least monthly?","The organization conducts vulnerability scans on infrastructure and applications at least weekly, and in some cases continuously, using various automated tools such as Wiz, AWS Inspector, Burp Suite Enterprise, Semgrep, Snyk, and Trivy. This suggests that vulnerability detection on organizationally managed assets occurs more frequently than at least monthly.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | 06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"""
"vulnerabilities on organizationally managed assets at least monthly.","The organization conducts vulnerability scans on infrastructure and application at least weekly using automated tooling, and also performs other types of vulnerability assessments such as penetration testing, DAST, SAST, dependency scanning, and container image scanning with varying frequencies.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | 06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"""
"TVM-05.1","The provided context does not contain enough information to answer the question TVM-05.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
"evaluated to update detection tools","The organization uses various tools for vulnerability detection and management, including Wiz, AWS Inspector, Burp Suite Enterprise, Semgrep, Snyk, and Trivy. These tools are used for infrastructure scanning, application DAST, static analysis, dependency scanning, and container image scanning. The organization also conducts external penetration testing and has a bug bounty program. The tools and processes are regularly updated to ensure the detection of known and unknown vulnerabilities.","approved","06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"weekly (or more frequent) basis?","Incremental backups are taken on an hourly basis, which is more frequent than weekly.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"" | 07_Identity_Access_Management_Policy.pdf (p.3): ""certificates issued by an internal PKI (HashiCorp Vault) and rotated every 24 hours. API keys are supported
as a secondary mechanism for machine-to-machine integrations and are scoped to specific IP r"""
"measures to update detection tools","The organization utilizes various tools for vulnerability scanning and penetration testing, including Wiz, AWS Inspector, Burp Suite Enterprise, Semgrep, Snyk, Trivy, and CrowdStrike Services. These tools are updated and utilized according to their specified frequencies, such as continuous, weekly, or annually, to ensure the detection of vulnerabilities and threats. Additionally, the organization has a bug bounty program through HackerOne, which provides continuous feedback on potential vulnerabilities.","approved","06_Infrastructure_Operations_Security.pdf (p.3): ""Activity Tool Frequency SLA (Remediation)
Infrastructure scanning Wiz, AWS Inspector Continuous Critical: 24h, High: 7d, Med: 30d
Application DAST Burp Suite Enterprise Weekly Critical: 48h, High: 14d"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"on a weekly","Infrastructure and application vulnerability scans are conducted weekly using automated tooling.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"""
"TVM-08.1","The provided context does not contain enough information to answer the question TVM-08.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | 08_Vendor_Supply_Chain_Management.pdf (p.1): ""NIMBUSGUARD TECHNOLOGIES, INC.
Vendor and Supply Chain Management
Policy
Third-Party Risk Assessment, Monitoring & Sub-Processor Controls
Document ID: NG-VSM-008 Version: 2.3
Effective Date: February """
